「…」 テンテンテン
ACCESSIBILITY アクセシビリティー
CEDEC+KYUSHU セデックキュウシュウ
QUANTIZATION クアンタイズ
PROPAGATION プロパゲイション
DESCRIPTION デスクリプション
APPLICATION アプリケーション
PROGRAMMING プログラミング
CONSTRAINED コンストレイン
INSTRUCTION インストラクション
EXTENSIBLE エクステンシブル
CONTROLLER コントローラー
DEFINITION ディフィニッション
KINEMATIC キネマティック
REFERENCE リファレンス
RASPBERRY ラズベリー
INTERFACE インターフェース
COMPONENT コンポーネント
TIMESTAMP タイムスタンプ
PARAMETER パラメーター
WEBSOCKET ウェブソケット
EXTENSION エクステンション
CONNECTED コネクテド
ADDRESSED アドレスド
REDUCTION リダクション
DIRECTORY ディレクトリ
UNDEFINED アンデファインド
PHOTOSHOP フォトショップ
NORMALIZE ノーマライズ
BEHAVIOUR ビヘイビア
TANGIBLE タンジブル
OPERATOR オペレーター
VELOCITY ベロシティー
NOTATION ノーテーション
SEPARATE セパレート
POSITION ポジション
FRAGMENT フラグメント
LANGUAGE ランゲージ
PROPERTY プロパティー
ELOQUENT エロクエント
COMPOSER コンポーザー
SELENIUM セレニウム
MOSAICML モザイクML
INSTRUCT インストラクト
JAPANESE ジャパニーズ
DECODING デコーディング
ASSEMBLY アセンブリ
INTERNAL インターナル
PORTABLE ポータブル
RATIONAL ラショナル
DOCUMENT ドキュメント
PREMIERE プレミア
SCALABLE スケーラブル
VIRTUAL バーチャル
MACHINE マシン
TANGENT タンジェント
INVERSE インバース
REVERSE リバース
DESTROY デストロイ
AMBIENT アンビエント
GRAFANA グラファナ
PACKAGE パッケージ
SHADING シェーディング
PROGRAM プログラム
TEXTURE テクスチャー
DECLARE デクレア
PLOBLEM プロブレム
BOOLEAN ブーリアン
REQUEST リクエスト
COMPACT コンパクト
COMMENT コメント
FOREIGN フォーレン
CREATED クリエイテド
DELETED デリーテド
SPOTIFY スポティファイ
SESSION セッション
ENCRYPT エンクリプト
BROWSER ブラウザ
ARDUINO アルディーノ
PROBLEM プロブレム
FACTUAL ファクチュアル
PRIVACY プライバシー
YOUTUBE ユーチューブ
PHISICS フィジックス
NETWORK ネットワーク
GRAPHIC グラフィック
HUFFMAN ハフマン
TRAILER トレーラー
DUOTONE デュオトーン
GOOGLE グーグル
COMMIT コミット
BRANCH ブランチ
ORIGIN オリジン
CHERRY チェリー
VSCODE ブイエスコード
PARENT ペアレント
SEARCH サーチ
PYTHON パイソン
INFLUX インフラクス
MANAGE マネージ
MARKUP マークアップ
RUNTEQ ランテック
OUTPUT アウトプット
README リードミー
SCROLL スクロール
OBJECT オブジェクト
STRUCT ストラクト
PRAGMA プラグマ
VERTEX バーテクス
SHADER シェーダー
DIRECT ダイレクト
RETURN リターン
SAMPLE サンプル
LAYOUT レイアウト
GLOBAL グローバル
SCRIPT スクリプト
SCRIPTS スクリプト
SERVER サーバー
HANDLE ハンドル
CLAUDE クロード
PUBLIC パブリック
CREATE クリエイト
FELICA フェリカ
ACTIVE アクティブ
VICUNA ビクーナ
SPEARE スピア
CLOSET クローゼット
VECTOR ベクター
CIRCLE サークル
LENGTH レングス
EXPERT エキスパート
DEFINE デファイン
HEADER ヘッダー
DOUBLE ダブル
SYSTEM システム
WINDOW ウィンドウ
HEIGHT ハイト
STROKE ストローク
APPLY アプライ
SHELL シェル
REACT リアクト
CHECK チェック
ハッシュ値 ハッシュチ
STASH スタッシュ
RESET リセット
SPACE スペース
GRAPH グラフ
GUIDE ガイド
CEDEC セデック
EQUAL イコール
ENEMY エネミー
PRINT プリント
FORCE フォース
RIGID リジッド
TRANS トランス
FOCUS フォーカス
MODAL モーダル
BUILD ビルド
STYLE スタイル
SHEET シート
COMMA コンマ
WHERE ウェア
DEBUG デバッグ
INTRO イントロ
ISSUE イシュー
SLACK スラック
FIRST ファースト
HELLO ハロー
#EN1# ワン
#EN2# ツー
#EN3# スリー
#EN4# フォー
#EN5# ファイブ
#EN6# シックス
#EN7# セブン
#EN8# エイト
#EN9# ナイン
COORD コーード
UNITY ユニティー
LEVEL レベル
TODO トードー
DEEP ディープ
MIND マインド
LINE ライン
BASI ベーシス
ASIN アークサイン
ACOS アークコサイン
ATAN アークタンジェント
「>」 みぎさんかく
均等 きんとう
割れ われ
− マイナス
° ど
△ さんかっけー
Α アルファ
Β べータ
Φ 直径
VALUE バリュー
UNLIT アンリト
MODEL モデル
GROUP グループ
TABLE テーブル
CONST コンスト
PARAM パラム
HTML5 エチティエムエルファイブ
JGLEU Jグルー
CLICK クリック
ADOBE アドビ
FLASH フラッシュ
ADDON アドオン
COMET コメット
E-TAX イータックス
HTTPS エチティティピーエス
FIXER フィクサー
ARRAY アレー
THROW スロー
ELYZA イライザ
SHAKE シェイク
RINNA リンナ
LLAMA リャマ
DELTA デルタ
FRUIT フルーツ
CHANK チャンク
JOINT ジョイント
START スタート
FRAME フレーム
IMAGE イメージ
BLOCK ブロック
MICRO マイクロ
SHORT ショート
FLOAT フロート
INDEX インデックス
WIDTH ウィドス
FILE ファイル
MONO モノ
PICK ピック
BACK バック
PUSH プッシュ
PULL プル
ITEM アイテム
WIFI ワイファイ
BODY ボディー
TRAP トラップ
INIT イニット
NODE ノード
SASS サス
JSON ジェイソン
AJAX エイジャックス
RUBY ルビー
WHEN ウェン
WHAT ワッツ
CHAT チャット
LAST ラスト
CLIP クリップ
HOGE ほげ
FUGA フガ
HIGH ハイ
HTTP エチティティピー
BOOL ブール
NULL ヌル
USER ユーザー
LOSS ロス
ELSE エルス
ONCE ワンス
CORS コルス
JAVA ジャバ
FORM フォーム
.COM ドットコム
BASE ベース
SOFT ソフト
EDGE エッジ
技術不足 ギジュツブソク
面倒くさ めんどくさ
TINY タイニー
FAST ファスト
GLUE グルー
LORA ローラ
SEED シード
VEC2 ベクツー
VEC3 ベクスリー
VEC4 ベクフォー
を行って をおこなって
BYTE バイト
LONG ロング
VIEW ビュー
FILL フィル
DLL ディーエルエル
VIM ヴィム
UNT ユーエヌティー
深掘り ふかぼり
LUX ルクス
GET ゲット
ADD アッド
SIN サイン
COS コサイン
TAN タンジェント
LET レット
DOM ドム
拡張子 かくちょうし
演算子 えんざんし
HOW ハウ
WHY ワイ
WHO フー
FIX フィックス
GIT ギット
TEX テクス
APP アップ
POS ポス
END エンド
LAB ラボ
か否か かいなか
USE ユーズ
INT イント
ETC など
PHP ピーエチピー
DOC ドック
前処理 まえしょり
WEB ウェブ
USB ユーエスビー
WIN ウィン
NEW ニュー
KEY キー
BOT ボット
BIT ビット
RAG ラグ
SIV シブ
VEC ベク
SUB サブ
LAP ラップ
う風に うふうに
う風な うふうな
DOT ドット
絶対値 ぜったいち
MIN ミン
MAX マックス
GIF ジフ
UNI ユニ
SYS シス
RAW ロー
VAR ヴァー
VI ヴィーアイ
右上 みぎうえ
左上 ひだりうえ
右下 みぎした
左下 ひだりした
秋月 アキヅキ
PI パイ
何の なんの
負荷 ふか
他人 たにん
[] かくかっこ
IS イズ
C# シーシャープ
係数 けいすう
最後 さいご
UN アン
2D ツーディー
一目 ひとめ
!= ノットイコール
² にじょう
± プラスマイナス
≠ ノットイコール
⇒ ならば
- マイナス
= イコール
他 ほか
ZYUGANOV ジュガノフ
ZYGOTE ザイゴウト
ZYGOMATIC ザイゴウマティク
ZYGOMA ザイゴウマ
ZYDECO ザイデコウ
ZVEGINTZOV ズベジンツフ
ZURICH ツーリッヒ
ZULU ズールー
ZUKERMAN ズッカーマン
ZUCKER ズッカー
ZUCCHINI ヅキニー
ZUBAYDAH ヅバイダー
ZOVIRAX ゾビラックス
ZOSTER ゾスター
ZOROASTRIAN ゾーロウアストリアン
ZOOMING ズーミング
ZOOMER ズーマー
ZOOM ズーム
ZOOLOGY ゾウアロジイ
ZOOLOGIST ゾウアロジスト
ZOOLOGICALLY ゾウアロジカリイ
ZOOLOGICAL ゾウアロジカル
ZOO ズー
ZONE ゾウン
ZOMBIES ゾンビーズ
ZOLA ゾラ
ZODIAC ゾウディアック
ZOCOR ゾコー
ZMODEM ゼットモデム
ZIYANG ジヤン
ZITI ジーティ
ZIRCONIA ザーコウニア
ZIRCON ジルコーン
ZIPPY ジッピイ
ZIPPORAH チッポラ
ZIPPO ジッポウ
ZIPPING ジッピング
ZIPPILY ジッピリー
ZIPPER ジッパー
ZIPPEL ジッペル
ZIPPED ジップト
ZIP ジップ
ZIONIST ザイアニスト
ZINNIA ジニア
ZINNI ジニ
ZINKERNAGEL ジンカーナゲル
ZINGER ジンガー
ZING ジング
ZINDER ジンダー
ZINC ジンク
ZIMMERMAN ジマーマン
ZIMBABWE ジンバブウェ
ZILOG ザイログ
ZILLION ズィリオン
ZILCH ジルチ
ZIGZAGGING ジグザギング
ZIGZAGGED ジグザグド
ZIGZAG ジグザグ
ZIGGY ジギー
ZIFT ジフト
ZIELINKISKI ジーリンスキイ
ZIEGLER ジーグラー
ZHU ジュー
ZHILA ジラ
ZHAO ジャウ
ZHANG ジャーン
ZHA ツアー
ZEUS ゼウス
ZEUGMA ズーグマ
ZESTY ゼスティイ
ZESTFULLY ゼストフリー
ZEST ゼスト
ZEROES ゼロウズ
ZEPPELIN ツェッペリン
ZEPHYR ゼファー
ZEOS ジオス
ZENITH ゼニス
ZENECA ゼネカ
ZEN ゼン
ZELKOVA ゼルコバ
ZEITGEIST ツアイトガイスト
ZEIST ザイスト
ZEDONG ゼゾン
ZEBULUN ゼビュラン
ZEBULON ゼビュラン
ZEBROSKI ゼブロスキイ
ZEBRA ゼブラ
ZEALOUS ズィーラス
ZEALOTS ゼラツ
ZEALOT ゼラト
ZEALAND ジーランド
ZEAL ズィール
ZEA ズィイ
ZCOPY ゼットコピー
ZAURUS ザウルス
ZARDARI ザルダリ
ZARD ザード
ZAPRUDER ザプルーダー
ZAPPING ザッピング
ZAPPED ザップト
ZAPOTEC サポテク
ZAPATIST ザパチスト
ZAP ザップ
ZANZIBAR ザンジバー
ZANY ゼイニー
ZANTAC ザンタック
ZANG ザング
ZAMBONI ザンボウニイ
ZAMBIAN ザンビアン
ZAMBIA ザンビア
ZAIRE ザイアー
Z ズ
YVONNE イボンヌ
YVES イーブ
YUTHS ユダス
YUPPIE ヤッピイ
YUNG ユン
YUMMY ヤミー
YUMASHEV ユマシェフ
YUM ヤム
YUKON ユーコン
YUKO ユーコ
YUJI ユウジ
YUICHI ユーイチ
YUGOSLAVIAN ユーゴスラビアン
YUGOSLAVIA ユーゴスラビア
YUGOSLAV ユーゴスラブ
YUCK ヤック
YUCATAN ユカタン
YUBIN ユービン
YUAN ユーアン
YOWLING ヤウリング
YOWL ヤウル
YOUTHES ユーシイズ
YOUTH ユース
YOURSELVES ユアセルブズ
YOURSELF ユアセルフ
YOURS ユアーズ
YOUR ユア
YOUNGSTER ヤングスター
YOUNGEST ヤンゲスト
YOUNGER ヤンガー
YOUNG ヤング
YOU'VE ユーブ
YOU'RE ユーアー
YOU'LL ユール
YOU'D ユード
YOU ユー
YORKER ヨーカー
YORK ヨーク
YORE ヨア
YONGMIN ヤンミン
YONGISH ヤンギシュ
YOMAIL ヨメイル
YOLK ヨーク
YOKO ヨーコ
YOKEL ヨウケル
YOKE ヨウク
YOHANNES ヨハネス
YOGURT ヨーガート
YOGISM ヨウギズム
YOGIC ヨウギク
YOGHURT ヨーガート
YODEL ヨーデル
YO ヨウ
YMODEM ワイモデム
YIPS イップス
YIPPIE イッピー
YIKE ヤイク
YIELDS イールズ
YIELDING イールディング
YIELDED イールディド
YIELD イールド
YIDDISHES イディッシュズ
YIDDISH イディッシュ
YHWH ヤーウェイ
YHVH ヤーウェイ
